iter	Logloss
0	0.6187986157
1	0.5582869828
2	0.5078748996
3	0.4657188955
4	0.4301404468
5	0.399826776
6	0.3739560554
7	0.3517813367
8	0.3324594265
9	0.3158571444
10	0.3016575978
11	0.2892300036
12	0.2782161129
13	0.2692205707
14	0.2600912759
15	0.2524844324
16	0.2451805063
17	0.239044733
18	0.2338395022
19	0.2291888819
20	0.2230326021
21	0.2176173874
22	0.2127042527
23	0.2085907116
24	0.204941809
25	0.2020435652
26	0.1991168981
27	0.1970451317
28	0.1951012152
29	0.1933559623
30	0.1910987279
31	0.1894531154
32	0.187662406
33	0.1862632947
34	0.1851619512
35	0.1843315834
36	0.1832036051
37	0.1823189836
38	0.1814631938
39	0.1806952912
40	0.1798404481
41	0.1789172784
42	0.1782652551
43	0.1776537108
44	0.1771903739
45	0.1767650457
46	0.1763934479
47	0.1758953505
48	0.1755915066
49	0.1752261649
50	0.1747465255
51	0.1745038473
52	0.1741465038
53	0.1741155156
54	0.1737810934
55	0.1736129484
56	0.1733375404
57	0.1732364329
58	0.1730195863
59	0.1729047209
60	0.1727738718
61	0.1727252219
62	0.1726114747
63	0.1724395785
64	0.1722320878
65	0.1720603649
66	0.1719573844
67	0.171851776
68	0.1716825449
69	0.1714669969
70	0.171423086
71	0.1712858083
72	0.1711771972
73	0.171113509
74	0.1710305475
75	0.1709236558
76	0.1708243885
77	0.1707533298
78	0.170704547
79	0.1705682897
80	0.1705027678
81	0.1704960358
82	0.1703396026
83	0.1702847364
84	0.1701781454
85	0.1701722845
86	0.170110923
87	0.1700625789
88	0.1700190443
89	0.169924258
90	0.1698329957
91	0.1697977614
92	0.1697152888
93	0.1695938826
94	0.1695267602
95	0.1694834627
96	0.1694218005
97	0.1693209735
98	0.169257615
99	0.169200636
