iter	Passed	Remaining
431	1599	2103
432	1603	2100
433	1612	2103
434	1625	2110
435	1629	2108
436	1634	2105
437	1637	2101
438	1642	2098
439	1645	2094
440	1649	2090
441	1656	2091
442	1660	2088
443	1664	2084
444	1667	2080
445	1671	2076
446	1675	2073
447	1679	2069
448	1682	2065
449	1686	2061
450	1690	2057
451	1694	2054
452	1697	2050
453	1701	2046
454	1705	2042
455	1710	2040
456	1713	2036
457	1717	2032
458	1721	2029
459	1725	2025
460	1729	2021
461	1732	2017
462	1735	2013
463	1739	2009
464	1743	2005
465	1747	2001
466	1750	1997
467	1754	1994
468	1758	1991
469	1761	1986
470	1765	1983
471	1769	1979
472	1772	1975
473	1776	1971
474	1780	1968
475	1784	1964
476	1788	1960
477	1791	1956
478	1794	1951
479	1797	1947
480	1801	1944
481	1805	1940
482	1809	1936
483	1813	1932
484	1816	1929
485	1820	1924
486	1823	1921
487	1827	1917
488	1831	1913
489	1834	1909
490	1838	1905
491	1842	1902
492	1845	1897
493	1848	1893
494	1852	1889
495	1855	1885
496	1858	1881
497	1862	1877
498	1866	1873
499	1869	1869
500	1873	1866
501	1877	1862
502	1881	1858
503	1884	1854
504	1888	1850
505	1891	1846
506	1894	1842
507	1898	1838
508	1902	1835
509	1905	1830
510	1909	1827
511	1913	1823
512	1916	1819
513	1920	1816
514	1924	1812
515	1927	1808
516	1930	1803
517	1934	1800
518	1938	1796
519	1942	1793
520	1945	1788
521	1949	1785
522	1952	1780
523	1955	1776
524	1959	1772
525	1962	1768
526	1965	1764
527	1969	1760
528	1973	1756
529	1976	1752
530	1981	1750
531	1985	1746
532	1989	1743
533	1994	1740
534	1998	1736
535	2002	1733
536	2006	1729
537	2008	1725
538	2012	1721
539	2016	1717
540	2020	1714
541	2023	1710
542	2027	1705
543	2029	1701
544	2033	1697
545	2036	1693
546	2039	1689
547	2042	1684
548	2045	1680
549	2048	1676
550	2052	1672
551	2055	1668
552	2059	1664
553	2062	1660
554	2066	1657
555	2070	1653
556	2073	1649
557	2077	1645
558	2080	1641
559	2083	1637
560	2086	1633
561	2090	1629
562	2093	1625
563	2097	1621
564	2100	1617
565	2104	1613
566	2108	1609
567	2111	1605
568	2114	1601
569	2117	1597
570	2121	1593
571	2124	1589
572	2127	1585
573	2131	1581
574	2134	1577
575	2137	1573
576	2140	1569
577	2144	1565
578	2147	1561
579	2150	1557
580	2153	1553
581	2156	1548
582	2159	1544
583	2163	1540
584	2166	1536
585	2169	1533
586	2173	1528
587	2176	1525
588	2179	1521
589	2183	1517
590	2186	1513
591	2189	1509
592	2193	1505
593	2196	1501
594	2199	1497
595	2203	1493
596	2207	1490
597	2211	1486
598	2215	1482
599	2218	1479
600	2224	1476
601	2227	1472
602	2231	1469
603	2235	1465
604	2238	1461
605	2241	1457
606	2245	1453
607	2249	1450
608	2253	1446
609	2256	1442
610	2260	1439
611	2263	1435
612	2267	1431
613	2270	1427
614	2274	1423
615	2277	1419
616	2280	1415
