iter	Logloss
0	0.6845355106
1	0.6765619258
2	0.6691515122
3	0.6616464467
4	0.6527148462
5	0.6461222005
6	0.6394811123
7	0.6323996043
8	0.6280038736
9	0.621279441
10	0.6135437836
11	0.6075539495
12	0.5990386462
13	0.5931798436
14	0.5893203901
15	0.585294149
16	0.5802360286
17	0.5750032047
18	0.570170525
19	0.5646446325
20	0.5607432357
21	0.5575121152
22	0.5538297245
23	0.5503986264
24	0.5455885664
25	0.5428769091
26	0.539605454
27	0.5367643758
28	0.5325416672
29	0.5282730891
30	0.525774082
31	0.5222623332
32	0.5185832983
33	0.5149436119
34	0.5111905099
35	0.5089205506
36	0.5069211511
37	0.5044679271
38	0.5018044629
39	0.4989373189
40	0.4958841221
41	0.4940417312
42	0.4921173646
43	0.4902739429
44	0.4872602472
45	0.4846401067
46	0.4818463423
47	0.4800428358
48	0.4781835358
49	0.4752279443
50	0.4730141251
51	0.4706593298
52	0.4677041476
53	0.4650777461
54	0.4633042001
55	0.4614647464
56	0.459761196
57	0.4573940001
58	0.4550688826
59	0.4531407765
60	0.4513301511
61	0.4501096066
62	0.4473972042
63	0.4453167163
64	0.4430258487
65	0.4409650933
66	0.4385516537
67	0.4369487489
68	0.4346475423
69	0.4334472228
70	0.4314416698
71	0.430034611
72	0.4281637032
73	0.4263480383
74	0.4251351069
75	0.4226373946
76	0.4210546069
77	0.419874573
78	0.4177603913
79	0.4157293501
80	0.4129908007
81	0.4119286625
82	0.4101319488
83	0.4089021412
84	0.4074858077
85	0.4056162575
86	0.4041726891
87	0.402179281
88	0.4008039027
89	0.3982773163
90	0.3969767529
91	0.3954597151
92	0.3942274757
93	0.3926663051
94	0.3913651604
95	0.3900236295
96	0.3886087637
97	0.387317027
98	0.386108079
99	0.3850699253
100	0.3835669869
101	0.3809083677
102	0.379869602
103	0.3783989265
104	0.3768270846
105	0.3750829536
106	0.3738071415
107	0.372740998
108	0.3718432608
109	0.3709167357
110	0.3693510996
111	0.3681585638
112	0.3670793562
113	0.3660275309
114	0.3646600977
115	0.3637157551
116	0.3624072874
117	0.3614262962
118	0.36057584
119	0.3590107836
120	0.3580027638
121	0.3572056546
122	0.3567174095
123	0.3563501552
124	0.355146847
125	0.3537008847
126	0.3522489492
127	0.3508272794
128	0.3496144708
129	0.3485162609
130	0.3472063105
131	0.346059968
132	0.3448610508
133	0.3440319988
134	0.3436169375
135	0.3426037578
136	0.3421718745
137	0.3409161258
138	0.3405821912
139	0.3398544918
140	0.3392475985
141	0.3385053578
142	0.3376515774
143	0.3372305876
144	0.3360080101
145	0.3352747954
146	0.3340902096
147	0.3326909171
148	0.3320921562
149	0.3300955095
150	0.3293648785
151	0.3286310959
152	0.3282774625
153	0.3276579222
154	0.3273927868
155	0.3266819995
156	0.3264503939
157	0.3255431422
158	0.3251283483
159	0.324464136
160	0.3237968451
161	0.3230917033
162	0.3224379322
163	0.3213903745
164	0.3211021565
165	0.3204972309
166	0.3195331664
167	0.3187153658
168	0.3182183795
169	0.3175143743
170	0.3170573755
171	0.3166423639
172	0.3161013457
173	0.3152547836
174	0.3143897892
175	0.3135362016
176	0.312834597
177	0.3123509278
178	0.3118096157
179	0.3112585153
180	0.3104115505
181	0.3102168518
182	0.3099598175
183	0.3094891543
184	0.3088274707
185	0.3080290617
186	0.307675084
187	0.307183865
188	0.3064729608
189	0.3060584431
190	0.3053629885
191	0.3047622392
192	0.3042438649
193	0.3039174556
194	0.3036550103
195	0.3030529515
196	0.3025107562
197	0.3018148052
198	0.3015309934
199	0.3012778622
200	0.3010589666
201	0.3004370353
202	0.3001234739
203	0.2997713744
204	0.2992724959
205	0.2991394027
206	0.2984837497
207	0.2980312422
208	0.2975938347
209	0.2972076573
210	0.2970368676
211	0.2963717447
212	0.2950950222
213	0.2944238881
214	0.2939905994
215	0.2936170343
216	0.2933455042
217	0.2929622771
218	0.2925728339
219	0.2919062381
220	0.2917251201
221	0.2911983891
222	0.2909989869
223	0.290476083
224	0.290140304
225	0.2894607677
226	0.2892727899
227	0.2886199166
228	0.2884885951
229	0.288210412
230	0.2880948278
231	0.2879321369
232	0.2874863812
233	0.2871643954
234	0.2869469529
235	0.286911826
236	0.2867115116
237	0.2864963517
238	0.2861158666
239	0.2857663281
240	0.2854246639
241	0.2852868449
242	0.2850265217
243	0.28491226
244	0.2845568607
245	0.2840100263
246	0.283720938
247	0.2834921066
248	0.2833833495
249	0.283146142
250	0.2830440752
251	0.2822286477
252	0.2819322873
253	0.2816002265
254	0.2812129006
255	0.2809678867
256	0.2803881337
257	0.2801013469
258	0.2795826525
259	0.2790630232
260	0.2785030974
261	0.2783878011
262	0.2782743844
263	0.2781795847
264	0.2780123884
265	0.2779252379
266	0.2777771161
267	0.2776756231
268	0.2773287404
269	0.2770605242
270	0.276789125
271	0.276725801
272	0.2764579146
273	0.276306091
274	0.2761563437
275	0.2758428445
276	0.2757335742
277	0.275538305
278	0.2753041789
279	0.2752006551
280	0.2748737055
281	0.2748039408
282	0.2747144135
283	0.2743139988
284	0.2738676415
285	0.2737767596
286	0.2732303639
